DATE / RAOB	REPORT	MUMR	MUCAPE	500TEMP	7-5 LR	0-6SH	0-9SH	0-3SH	SHIP	MODELb	SRH
02062500.ABR	2.75	15.1	4208	-7.1	6.8	19.1	19.3	11.1	1.4	3.10	20
02072000.TOP	2.75	17.5	4986	-7.5	7.3	10.0	12.7	8.5	1.1	2.70	197
02072700.TOP	2.75	19.3	6406	-5.3	6.9	18.2	19.3	9.1	2.0	2.60	131
02081200.LBF	2.75	13.3	3735	-9.9	8.7	13.1	11.8	10.5	1.3	2.10	222
03031300.SHV	2.75	13.5	2901	-15.3	7.1	17.1	24.1	11.0	1.7	2.00	162
03040618.LZK	2.75	13.1	2556	-15.9	7.6	35.1	38.9	28.4	3.4	3.10	600
03042500.LZK	2.75	13.8	3423	-15.7	7.6	20.9	31.0	20.0	2.8	3.30	212
03042600.BMX	2.75	14.2	3921	-13.3	6.2	35.8	33.5	26.6	3.9	2.70	89
03042900.SGF	2.75	13.1	3399	-16.7	8.5	5.0	19.6	4.8	0.7	2.80	53
03050100.TOP	2.75	13.0	3922	-14.1	7.8	17.2	19.6	13.9	2.3	2.70	117
03050618.SGF	2.75	15.6	5492	-14.7	7.7	32.0	40.6	17.8	7.4	2.80	313
03050700.FWD	2.75	17.8	5303	-9.7	7.1	30.4	36.2	8.4	4.7	3.50	126
03051000.OUN	2.75	16.8	5328	-11.1	8.3	27.5	34.8	16.8	5.4	3.60	182
03051400.SHV	2.75	16.7	3920	-9.5	7.2	27.2	37.0	19.3	2.9	0.80	389
03051600.AMA	2.75	14.1	3706	-10.3	8.9	42.9	37.7	34.9	4.9	-999.00	632
03051700.SHV	2.75	16.3	3995	-10.9	7.4	23.2	13.9	19.6	2.9	2.70	242
03060500.AMA	2.75	11.9	2647	-11.9	7.6	23.0	28.5	13.1	1.5	2.10	167
03061400.AMA	2.75	12.3	3153	-13.3	8.3	21.7	24.7	13.7	2.2	2.10	35
03091000.DDC	2.75	14.8	3620	-7.7	7.5	12.1	15.8	11.3	0.9	3.00	233
03091100.MAF	2.75	13.3	2808	-6.5	6.8	10.3	9.0	7.4	0.4	1.40	80
03100600.AMA	2.75	12.2	2542	-10.3	6.4	24.1	30.2	12.9	1.2	2.50	50
04032718.DDC	2.75	13.2	4133	-17.3	8.0	24.6	26.6	14.4	4.4	2.30	143
04032800.OUN	2.75	12.6	2904	-15.9	7.8	23.3	31.1	16.4	2.5	2.80	315
04040500.CRP	2.75	14.9	2478	-12.1	6.7	22.4	20.6	7.0	1.6	0.60	184
04050600.WAL	2.75	9.3	1861	-21.3	7.2	20.2	28.3	21.3	1.3	1.40	239
04051100.DNR	2.75	10.6	3995	-12.9	9.2	28.3	16.6	18.2	3.4	1.50	379
04051223.LMN	2.75	15.9	4076	-10.5	7.4	22.7	30.4	21.9	2.7	2.40	304
04051300.OUN	2.75	16.8	5740	-11.5	8.2	15.2	20.9	12.4	3.3	3.60	131
04053000.TOP	2.75	15.9	3882	-12.9	8.7	22.4	15.3	14.8	3.7	3.20	295
04060300.FWD	2.75	16.9	4767	-11.1	8.7	19.1	24.1	14.1	3.5	-999.00	157
04070500.DDC	2.75	14.3	3819	-10.3	8.3	18.6	30.5	14.4	2.1	2.50	161
05022200.FFC	2.75	11.4	1389	-16.3	7.0	28.5	35.4	20.7	1.2	1.70	225
05041800.AMA	2.75	9.4	1767	-17.3	8.7	19.6	22.9	15.5	1.2	1.90	211
05042100.DDC	2.75	13.2	4722	-15.3	8.6	16.1	14.9	15.2	3.1	2.10	174
05042300.JAN	2.75	13.6	2558	-14.7	7.1	28.5	34.1	19.9	2.5	2.70	183
05051000.FWD	2.75	15.5	4841	-11.5	6.7	18.0	25.9	9.5	2.5	2.90	152
05092300.ILX	2.75	14.1	1858	-8.1	6.9	21.5	16.8	11.5	0.7	0.80	121
06031218.TOP	2.75	12.6	2814	-17.9	8.5	44.8	54.9	33.9	5.7	2.70	723
06041400.DVN	2.75	11.2	1524	-15.7	8.3	30.6	30.3	15.8	1.6	3.40	263
06042000.BMX	2.75	13.1	2242	-11.9	7.1	21.7	27.0	11.3	1.3	2.10	122
06050300.DRT	2.75	13.7	3549	-12.1	8.5	14.2	19.0	5.1	1.7	2.10	74
06050500.MAF	2.75	11.5	3709	-12.1	8.1	27.6	34.4	21.7	2.7	1.70	372
06050718.CHS	2.75	12.9	2580	-12.5	6.0	17.7	18.8	15.9	1.1	2.00	177
